DATE      	TIME       	LAT     	LON      	DEPTH	MAG
1964-05-24	00:50.2	30.0496	82.1363	21	5.1
1964-09-26	46:01.8	29.8553	80.452	29.9	6
1964-10-06	19:34.3	29.3238	80.9165	17	5.2
1964-12-02	21:44.5	29.4573	81.2309	20	5.2
1966-03-06	10:58.5	31.4191	80.4515	35	5.4
1966-03-06	15:55.4	31.373	80.5448	17.3	6
1966-06-25	05:04.8	30.2342	82.0498	35	4.8
1966-06-27	41:08.9	29.4815	80.8388	27.9	6
1966-06-27	47:46.9	29.937	80.8036	35	5.3
1966-06-27	49:47.3	29.4295	80.8609	17	5.6
1966-06-27	59:18.6	29.7075	80.9233	23.8	6
1966-06-27	21:44.0	29.5704	80.8414	28.6	5.3
1966-06-27	55:51.9	29.6944	80.8136	23.2	5.4
1966-06-28	43:38.6	29.4786	80.8448	17	4.9
1966-10-05	57:20.3	29.3726	81.1259	17	4.6
1966-12-16	52:16.9	29.5431	80.8488	15.8	5.9
1966-12-18	42:38.4	29.556	80.7404	17	4.8
1966-12-21	10:59.9	29.6499	80.7498	17	5.3
1967-12-18	51:36.0	29.3059	81.7845	31	5.1
1968-05-27	35:57.9	29.6164	80.5117	19	5.1
1969-12-05	45:15.6	29.007	80.9907	35	4.9
1970-02-12	51:48.8	29.1351	81.6066	19.6	5.2
1973-10-16	50:44.2	28.3748	82.8828	25.4	5.1
1974-03-13	47:50.8	29.2377	81.2791	27	4.5
1974-05-06	07:02.3	29.2306	81.5732	33	4.5
1974-12-23	45:41.8	29.3013	81.2625	27	5.3
1975-09-06	44:34.6	29.187	81.8084	13.5	5.2
1976-05-10	43:53.9	29.3234	81.5126	19.5	5.3
1976-09-29	51:25.5	29.4255	81.4419	27	5
1977-09-20	51:37.1	29.5006	80.9459	17	4.6
1977-11-04	54:46.9	29.5052	81.1535	17	5
1978-01-01	25:51.2	30.0763	81.6492	33	4.4
1978-02-04	30:16.1	29.1336	81.205	35	4.4
1978-02-28	26:02.3	29.2752	80.6522	19	4.7
1978-03-07	22:00.5	29.1915	81.3252	33	4.2
1979-01-01	52:48.7	28.3131	82.8229	35	4.5
1980-06-22	38:54.0	30.0799	81.6532	24.6	5.2
1980-07-29	23:09.9	29.2952	81.2185	8.5	5.8
1980-07-29	58:42.6	29.58	81.0481	17.5	6.1
1980-07-29	44:23.3	29.4258	80.9381	17	4.6
1980-07-29	57:37.2	29.0841	81.1444	35	4.6
1980-07-30	00:41.5	29.5392	80.7391	17	4.9
1980-07-31	22:01.4	29.4185	80.8253	17	4.6
1980-08-04	52:39.8	29.3604	80.9173	17	4.7
1980-08-20	05:53.7	29.3255	80.9322	17	4.5
1980-10-10	02:25.9	29.1774	81.0047	10	5
1981-03-06	58:51.1	29.9716	80.5915	31.8	5.1
1981-05-15	22:43.8	29.4246	81.9254	22.7	5.2
1981-09-10	47:06.9	29.3297	81.1126	17	4.8
1982-01-23	58:37.6	31.3545	82.2337	35	4.4
1982-01-23	52:09.2	31.4428	82.2234	28.7	5
1982-01-23	43:22.0	31.4767	82.3594	35	4.4
1982-01-24	31:54.2	31.4239	82.2554	20	4.7
1982-01-24	46:14.5	31.4701	82.2905	10	4.3
1982-01-24	12:54.6	31.4766	81.9869	35	4.5
1982-02-04	06:51.8	31.4332	82.2065	35	4.6
1982-09-09	05:31.5	28.5967	81.2717	10	4.6
1982-09-09	29:01.3	28.6956	82.0599	35	4.7
