DATE      	TIME       	LAT     	LON      	DEPTH	MAG
1964-02-01	28:19.7	27.366	87.7167	21	4.8
1964-11-09	12:53.4	29.5208	85.9256	35	5.3
1965-01-12	32:25.7	27.3829	87.8286	22.8	6.1
1965-01-12	55:20.3	27.3269	87.6567	21	5.3
1965-06-01	52:28.0	28.4637	83.0358	35	5.3
1966-11-05	53:05.3	28.2606	83.7887	35	4.9
1968-10-28	48:29.4	27.6128	86.0925	19	4.8
1970-02-26	30:07.4	27.6028	85.8968	19	5.2
1970-02-26	21:20.3	27.1975	85.7833	10	4.8
1970-07-21	37:43.1	27.9666	84.7519	12	5
1971-10-24	59:05.3	28.1547	87.1952	35	4.7
1971-12-04	38:03.3	27.762	87.7669	35	5
1972-08-21	04:34.3	27.413	87.9544	20	4.8
1973-03-22	06:58.9	28.2085	87.1235	28.6	5
1974-03-24	16:03.3	27.7852	86.0684	24	5.7
1974-03-24	17:38.4	27.4549	85.8967	19	5
1974-09-27	26:38.3	28.5856	85.4326	47	5.7
1975-01-31	38:55.7	28.0927	84.6786	46.2	5.1
1975-02-06	39:50.8	27.7985	87.492	68	4.8
1975-04-24	35:54.6	27.4852	87.0013	35	5
1975-06-24	38:26.4	27.6554	87.5264	10	4.9
1975-11-21	49:29.6	27.0106	86.5438	10	4.9
1975-11-26	02:36.0	28.0615	87.6792	71	5.1
1976-09-12	36:12.0	27.6467	85.8472	19	4.7
1978-02-10	29:51.2	28.0882	84.6532	12.9	5.3
1978-02-19	52:29.4	29.3719	85.103	10	4.5
1978-08-13	28:02.7	27.9458	85.1637	12	4.5
1978-10-04	53:51.4	27.7901	85.9202	15.1	5.2
1978-10-23	36:48.8	28.8075	86.8963	10	4.4
1978-12-25	00:04.0	28.1118	84.176	35	4.7
1979-05-05	22:50.5	27.1731	85.6339	35	4.2
1979-06-19	29:11.7	26.6592	87.4765	12.7	5.3
1979-07-03	56:54.4	27.7714	84.3152	35	4.2
1979-11-16	17:27.4	27.4024	88.1505	10	4.9
1980-11-18	46:23.9	29.5689	85.2937	35	5
1980-11-20	03:30.8	29.4451	85.2209	35	5
1981-04-09	19:33.1	28.0328	84.6336	35	4.6
1982-05-29	29:50.4	28.5413	83.2831	35	4.5
1982-08-03	03:30.4	27.833	85.7485	18	4.7
1983-08-23	43:09.0	28.1001	84.9205	12	4.6
1984-01-06	48:08.0	27.9114	84.8011	12	4.7
1984-01-25	49:47.3	27.539	85.9953	19	4.5
1984-05-30	27:27.0	28.7379	83.9759	35	4.7
1985-09-13	33:09.7	29.5883	84.0185	35	4.6
1985-10-21	57:10.4	28.8884	83.9134	35	4.6
1985-12-23	49:45.5	27.6244	85.7274	35	4.5
1986-01-06	50:43.1	27.805	85.3088	31.5	4.7
1986-01-10	46:32.2	28.778	86.631	59.6	5.5
1987-01-19	46:24.6	28.2134	83.6581	29.4	5.3
1987-01-19	12:07.4	28.3063	83.5861	31	5
1987-04-23	05:54.4	27.9771	87.0041	18	4.8
1987-05-10	10:43.6	28.5659	87.1059	35	4.7
1987-08-09	15:03.0	29.4693	83.74	65.5	5.8
1988-04-09	57:57.5	29.6803	86.9036	35	4.5
1988-04-11	11:29.7	27.5348	85.8962	19	4.8
1988-04-20	40:24.5	27.0066	86.6691	28.2	5.5
1988-04-25	04:02.8	26.9459	86.602	35	4.8
1988-05-02	26:19.0	27.1314	83.845	35	4
1988-08-20	09:11.0	26.7162	86.6247	58.1	6.5
1988-08-24	55:34.5	26.6996	86.6177	10	4.7
1988-08-29	12:16.0	26.5172	87.6908	10	4.7
1988-09-02	35:35.8	26.6708	86.4409	42	4.4
1988-09-21	51:14.8	28.6417	85.5315	47	4.5
