DATE,TIME,LAT,LON,DEPTH,MAG
04/04/1996,23:03:07,29.49,80.88,35.0,3.5
22/03/1997,21:14:42,30.47,88.13,41.0,3.5
28/05/1997,16:19:35,28.33,82.53,35.0,3.5
27/03/1998,20:30:11,30.78,82.31,35.0,3.5
17/09/1998,13:25:26,27.82,86.86,18.0,3.5
27/11/1998,12:37:55,27.72,86.77,35.0,3.5
18/01/2003,01:22:19,27.57,86.18,19.0,3.5
21/09/2003,14:06:10,28.73,81.73,35.0,3.5
30/07/2004,06:08:12,30.66,83.93,26.0,3.5
10/10/2004,11:48:40,27.65,87.49,21.0,3.5
05/11/2004,12:21:18,30.86,86.53,26.0,3.5
07/04/2005,21:03:30,30.6,83.8,26.0,3.5
08/04/2005,10:45:38,30.4,84.03,26.0,3.5
08/04/2005,10:47:09,30.48,83.84,26.0,3.5
08/04/2005,11:02:14,30.58,84.21,10.0,3.5
11/04/2005,07:23:01,30.47,84.06,26.0,3.5
11/04/2005,22:06:37,30.59,83.74,11.0,3.5
14/04/2005,15:00:33,30.32,83.78,10.0,3.5
17/04/2005,22:02:16,30.65,84.02,26.0,3.5
07/09/2005,12:03:11,29.31,81.55,33.0,3.5
10/01/2007,22:13:36,29.36,87.35,35.0,3.5
29/07/2007,16:24:09,29.29,82.19,31.0,3.5
12/04/2008,19:13:15,27.72,86.84,35.0,3.5
19/04/2008,19:51:42,30.49,84.01,26.0,3.5
13/07/2008,04:14:02,30.69,83.77,26.0,3.5
25/08/2008,17:30:28,30.59,83.2,35.0,3.5
25/08/2008,18:02:34,30.59,83.09,35.0,3.5
25/08/2008,19:33:09,30.61,83.31,18.0,3.5
25/08/2008,20:35:55,30.76,83.17,35.0,3.5
26/08/2008,11:22:18,30.88,83.5,11.0,3.5
26/08/2008,13:30:00,30.69,83.34,11.0,3.5
27/08/2008,19:53:02,30.69,82.94,35.0,3.5
29/08/2008,16:14:57,30.78,83.3,18.0,3.5
30/08/2008,21:48:44,30.65,83.27,18.0,3.5
31/08/2008,02:37:35,30.53,83.05,35.0,3.5
03/09/2008,14:50:32,30.71,82.83,10.0,3.5
04/09/2008,18:47:05,30.75,83.45,11.0,3.5
09/09/2008,18:37:09,30.76,83.32,11.0,3.5
25/09/2008,02:03:35,30.81,84.22,10.0,3.5
25/09/2008,05:31:36,30.97,83.54,11.0,3.5
25/09/2008,06:46:48,30.79,83.46,18.0,3.5
28/09/2008,15:49:27,30.78,83.13,35.0,3.5
17/11/2008,07:16:59,30.88,83.43,11.0,3.5
17/11/2008,07:49:57,30.65,83.19,35.0,3.5
26/11/2008,09:16:07,30.16,83.41,17.0,3.5
05/12/2008,04:34:23,29.21,88.05,35.0,3.5
19/01/2009,16:59:56,28.52,86.41,57.0,3.5
21/03/2009,15:11:27,30.85,83.72,35.0,3.5
08/09/2009,20:46:59,30.71,83.36,35.0,3.5
09/11/2009,10:21:43,29.74,86.6,35.0,3.5
21/12/2009,06:17:04,30.86,83.85,10.0,3.5
07/01/2010,03:42:59,30.68,83.39,18.0,3.5
18/03/2010,08:06:05,30.75,83.83,35.0,3.5
09/04/2010,12:58:32,30.56,83.31,18.0,3.5
28/09/2010,21:46:20,27.89,87.81,71.0,3.5
07/11/2010,17:17:51,30.8,84.35,35.0,3.5
22/11/2010,13:44:33,30.8,84.29,35.0,3.5
05/12/2010,06:37:06,29.81,81.95,21.0,3.5
24/12/2010,15:36:31,29.73,80.43,19.0,3.5
09/01/2011,11:48:29,29.4,81.72,27.0,3.5
18/01/2011,03:35:43,29.83,81.6,10.0,3.5
13/02/2011,04:15:50,30.6,85.96,35.0,3.5
10/04/2011,18:43:53,29.72,81.17,17.0,3.5
17/04/2011,04:48:33,29.25,81.31,27.0,3.5
28/09/2011,14:03:06,30.4,83.91,26.0,3.5
22/10/2011,04:31:31,30.54,81.25,10.0,3.5
03/11/2011,19:37:20,29.61,80.58,19.0,3.5
18/01/2012,11:16:26,26.48,86.38,36.6,3.5
14/02/2012,13:41:23,27.19,87.9,20.0,3.5
14/02/2012,13:48:43,27.26,88.1,20.0,3.5
15/06/2012,16:15:03,28.62,81.76,35.0,3.5
14/05/2013,03:18:26,29.61,82.28,35.0,3.5
16/05/2013,00:33:16,30.68,84.13,26.0,3.5
16/05/2013,10:13:14,30.84,83.88,35.0,3.5
24/06/2013,15:34:52,28.59,86.69,35.0,3.5
11/12/2014,03:11:45,29.38,81.23,10.0,3.5
18/02/2015,17:18:34,29.27,86.28,35.0,3.5
25/04/2015,07:22:02,27.83,86.04,19.0,3.5
25/04/2015,08:48:25,27.96,85.18,12.0,3.5
25/04/2015,13:59:29,27.77,85.23,10.0,3.5
25/04/2015,14:59:56,27.56,85.9,19.0,3.5
25/04/2015,21:31:24,27.98,85.43,18.0,3.5
25/04/2015,21:46:19,27.81,85.44,18.0,3.5
26/04/2015,00:15:29,27.63,85.29,10.0,3.5
26/04/2015,19:12:42,27.65,85.79,19.0,3.5
27/04/2015,14:34:38,27.69,85.82,19.0,3.5
27/04/2015,16:56:20,27.63,85.69,10.0,3.5
29/04/2015,14:16:21,27.97,84.54,10.0,3.5
29/04/2015,16:32:09,27.97,86.1,19.0,3.5
29/04/2015,18:24:56,27.75,85.75,19.0,3.5
30/04/2015,17:47:39,27.8,85.6,18.0,3.5
01/05/2015,13:45:18,28.22,84.39,10.0,3.5
03/05/2015,00:29:42,27.64,84.43,10.0,3.5
11/05/2015,13:53:08,27.65,85.79,19.0,3.5
12/05/2015,09:55:57,27.57,86.12,19.0,3.5
12/05/2015,10:48:09,28.03,86.82,18.0,3.5
14/05/2015,15:05:44,27.66,86.36,35.0,3.5
21/05/2015,08:26:45,27.51,86.1,19.0,3.5
25/05/2015,05:15:40,27.52,85.98,19.0,3.5
25/05/2015,19:37:39,27.48,85.83,19.0,3.5
26/05/2015,12:03:03,27.5,86.11,10.0,3.5
03/06/2015,11:53:32,27.65,86.17,13.6,3.5
17/06/2015,00:13:19,27.68,85.2,10.0,3.5
26/07/2015,16:59:06,29.97,80.67,23.0,3.5
16/08/2015,13:31:40,28.05,84.43,35.0,3.5
30/08/2015,02:41:41,28.1,86.9,18.0,3.5
02/09/2015,23:25:18,27.44,85.55,10.0,3.5
26/09/2015,20:17:22,30.69,83.88,10.0,3.5
24/11/2015,18:57:21,28.01,85.63,18.0,3.5
02/12/2015,17:35:50,28.1,87.29,27.4,3.5
09/01/2016,17:43:52,27.47,85.78,19.0,3.5
30/03/2016,22:41:17,27.66,85.36,35.0,3.5
04/05/2016,05:32:01,29.39,82.02,31.0,3.5
11/05/2016,13:53:22,28.51,87.17,35.0,3.5
23/05/2016,12:33:24,28.37,87.9,35.0,3.5
23/07/2016,06:14:44,28.05,84.53,35.0,3.5
09/09/2016,23:22:41,30.07,82.65,35.0,3.5
10/09/2016,23:15:01,30.1,82.7,10.0,3.5
28/12/2016,13:16:50,29.66,81.91,31.0,3.5
04/02/2017,12:13:21,27.26,85.34,10.0,3.5
20/04/2017,08:32:49,27.72,86.91,35.0,3.5
12/06/2017,11:54:10,27.54,86.08,4.7,3.5
23/08/2017,02:16:44,30.98,83.69,11.0,3.5
05/01/2018,20:55:23,29.52,81.09,17.0,3.5
05/03/2018,01:47:12,30.11,87.72,35.0,3.5
08/03/2018,23:56:33,28.63,88.03,35.0,3.5
29/03/2018,17:28:18,29.51,86.11,35.0,3.5
06/04/2018,09:08:37,29.53,83.93,35.0,3.5
03/06/2018,16:44:56,27.63,87.54,21.0,3.5
01/08/2018,20:02:20,30.03,87.04,35.0,3.5
20/09/2018,16:26:16,30.47,87.92,41.0,3.5
25/12/2018,21:20:41,30.22,87.49,35.0,3.5
25/12/2018,21:31:17,30.35,87.55,35.0,3.5
10/01/2019,00:10:20,30,87.57,35.0,3.5
10/01/2019,05:49:26,27.54,86.32,12.8,3.5
18/01/2019,07:52:41,30.18,87.56,35.0,3.5
13/02/2019,03:58:51,30.48,87.86,41.0,3.5
11/04/2019,20:16:52,29.55,81.77,10.0,3.5
24/04/2019,00:55:48,27.69,85.15,6.3,3.5
22/05/2019,12:59:54,28.99,80.75,10.0,3.5
24/07/2019,12:13:23,27.79,86.15,12.7,3.5
20/12/2019,00:35:21,27.92,87.89,66.6,3.5
29/12/2019,03:57:52,28.7,86.63,84.5,3.5
18/02/2020,19:49:55,30.14,85.67,48.3,3.5
05/03/2020,05:16:08,28.64,87.4,1.2,3.5
26/05/2020,10:15:55,29.69,81.99,31.0,3.5
16/06/2020,04:08:51,27.68,86.07,10.2,3.5
10/08/2020,20:41:44,28.57,86.19,9.1,3.5
12/11/2020,21:21:27,27.55,87.82,106.6,3.5
11/03/2021,23:38:13,28.7,86.58,6.8,3.5
19/06/2021,20:03:53,29.64,84.22,1.5,3.5
09/07/2021,18:04:18,28.03,84.69,35.0,3.5
26/07/2021,18:50:36,30.95,87.05,35.0,3.5
15/08/2021,20:33:53,30.29,84.6,35.0,3.5
18/10/2021,09:38:56,27.88,85.81,5.8,3.5
02/01/2022,17:03:09,28.13,88.13,71.0,3.5
19/04/2022,00:18:40,29.61,80.54,19.0,3.5
23/05/2022,09:15:34,27.51,87.95,20.0,3.5
16/06/2022,21:45:00,30.57,86.66,35.0,3.5
26/10/2022,09:27:12,30.98,82.7,35.0,3.5
08/11/2022,16:11:24,29.08,81,35.0,3.5
21/12/2022,19:14:59,29.82,80.79,10.0,3.5
26/01/2023,02:16:38,29.6,81.4,27.0,3.5
01/02/2023,05:59:22,29.58,81.69,27.0,3.5
24/02/2023,18:05:33,30.32,86.07,10.0,3.5
23/04/2023,07:27:32,28.79,81.05,35.0,3.5
22/05/2023,13:09:07,29.62,81.51,27.0,3.5
19/06/2023,23:09:58,29.53,80.92,13.6,3.5
20/05/1996,17:46:44,30.78,87.76,35.0,3.6
22/12/1996,21:45:46,28.79,81.53,35.0,3.6
26/05/1997,00:45:34,27.66,86.89,35.0,3.6
04/09/1998,21:16:15,27.63,86.81,35.0,3.6
11/09/1998,20:49:55,28.71,87.41,35.0,3.6
05/11/2000,13:39:11,28.55,81.89,10.0,3.6
13/03/2001,16:11:14,28.82,83.69,35.0,3.6
28/05/2001,21:09:46,29.42,85.74,35.0,3.6
27/01/2002,19:13:18,29.94,87.96,37.0,3.6
05/05/2002,17:03:40,30.69,84,26.0,3.6
05/06/2002,00:44:33,30.4,81.65,36.0,3.6
06/06/2002,02:18:02,30.34,81.83,21.0,3.6
18/07/2002,23:24:26,28.21,88.05,82.1,3.6
31/08/2002,13:10:58,29.91,87.95,37.0,3.6
23/10/2002,18:04:44,27.54,88.11,22.1,3.6
20/02/2004,18:35:40,28.16,87.52,68.0,3.6
22/02/2004,15:38:01,29.36,81.11,17.0,3.6
02/06/2004,15:24:47,29.84,87.66,35.0,3.6
15/06/2004,12:51:50,30.44,81.36,10.0,3.6
26/06/2004,18:38:38,29.87,87.81,35.0,3.6
16/07/2004,12:21:04,30.61,83.72,18.0,3.6
18/12/2004,20:51:10,30.64,83.8,26.0,3.6
05/03/2005,12:19:24,28.22,84.13,27.4,3.6
06/04/2005,22:24:41,30.49,86.21,35.0,3.6
08/04/2005,11:26:44,30.33,83.83,26.0,3.6
08/04/2005,11:55:55,30.38,83.48,18.0,3.6
08/04/2005,13:04:11,30.32,83.38,18.0,3.6
09/04/2005,23:39:17,30.4,83.6,18.0,3.6
23/04/2005,14:09:10,30.32,83.95,26.0,3.6
08/05/2005,09:23:22,30.44,83.92,26.0,3.6
21/08/2005,19:53:34,30.03,80.84,35.0,3.6
11/04/2006,14:15:19,27.98,87.62,55.1,3.6
06/04/2007,03:45:37,28.47,86.68,57.0,3.6
06/05/2007,23:53:57,27.22,87.39,30.0,3.6
28/05/2007,03:29:59,27.97,87.77,68.0,3.6
05/03/2008,10:46:07,28.31,84.62,35.0,3.6
07/06/2008,12:24:21,30.56,83.62,18.0,3.6
15/06/2008,17:35:06,29.58,82.73,35.0,3.6
22/06/2008,18:14:47,28.38,85.71,65.9,3.6
25/08/2008,14:32:17,30.87,83.55,11.0,3.6
25/08/2008,16:05:07,30.79,83.47,11.0,3.6
26/08/2008,11:28:55,30.77,83.3,11.0,3.6
26/08/2008,13:56:16,30.71,83.28,11.0,3.6
26/08/2008,18:33:28,30.61,83.1,35.0,3.6
