DATE      ,TIME       ,LAT     ,LON      ,DEPTH,MAG 
18/02/1964,03:48:35,27.3775,91.1967,15.7,5.4
27/03/1964,23:03:42,27.0324,89.2823,25.5,4.9
13/04/1964,03:20:04,27.5795,90.0796,35,5.4
30/08/1964,02:35:09,27.4404,88.2322,22,5.1
01/09/1964,13:22:38,26.9656,92.2021,22,5.7
21/10/1964,23:09:19,28.0827,93.8315,20.2,6
11/04/1965,22:33:06,26.6941,92.2023,47,5.1
15/06/1965,07:59:20,29.5794,95.5431,22.9,5.3
06/10/1965,08:03:06,29.1948,96.299,35,4.9
09/12/1965,20:26:05,27.336,92.5038,18,5.4
27/05/1966,14:35:07,27.489,96.3178,35,4.9
05/07/1966,10:01:20,27.7526,92.4948,35,4.9
11/09/1966,15:55:21,27.0132,95.6643,26.7,5
26/09/1966,05:10:57,27.4556,92.5586,16.3,5.6
25/02/1967,11:56:10,27.3346,92.4965,18,4.8
11/03/1967,16:56:53,28.4406,94.2971,17.3,5.2
14/03/1967,06:58:06,28.4311,94.2144,18.8,5.8
16/03/1967,12:13:26,26.9298,96.3676,35,4.9
08/06/1967,23:17:51,26.6241,95.9584,83,4.7
07/07/1967,22:56:33,27.7531,91.977,35,4.8
15/09/1967,10:32:44,27.3343,91.877,13,6
31/01/1968,11:45:18,29.7198,92.2001,12.6,5.2
20/08/1968,09:30:59,29.99,94.9079,35,5
18/11/1968,08:49:04,26.8244,92.7108,46.2,4.5
30/06/1969,08:51:57,26.7967,92.6629,58.4,5
22/10/1969,02:33:24,28.9109,95.3144,40,4.6
05/11/1969,20:25:18,27.497,89.981,35,5.1
19/02/1970,07:10:03,27.4384,93.912,12.8,5.5
10/03/1970,05:20:11,26.8319,96.9312,22.3,5.3
24/06/1970,00:43:02,28.9433,95.6727,15.3,4.9
02/06/1972,20:32:58,28.3911,95.8004,35,4.7
08/06/1972,23:10:13,29.7039,92.4064,35,4.8
06/11/1972,10:56:12,26.8897,88.5884,35,4.7
04/07/1973,16:44:13,27.3671,92.4163,18,5
01/08/1973,14:05:20,29.3693,89.0395,91.6,5
11/09/1973,15:56:00,27.0292,92.6664,35,4.9
09/10/1973,04:01:50,27.8084,93.362,35,4.9
09/07/1974,07:17:10,27.2976,92.4423,18,4.6
10/07/1974,18:10:36,28.8265,95.4709,40,4.9
23/01/1975,01:37:43,27.3816,88.2329,22,4.6
09/02/1975,23:26:36,29.9311,96.8881,10,4.8
03/06/1975,03:23:37,26.6096,96.9248,15,5.5
10/06/1975,11:50:11,28.2123,95.8167,27.4,5
28/06/1975,06:07:52,29.1212,95.6088,28.8,4.8
20/12/1975,04:59:23,27.7459,96.2122,35,4.4
11/03/1976,00:32:40,26.7045,92.2142,40,4.8
05/08/1976,10:24:14,28.1838,92.2767,35,4.8
14/09/1976,06:43:56,29.7923,89.556,101.9,5.4
10/11/1976,02:35:50,26.66,96.8442,15,4
29/10/1977,01:53:23,28.9302,94.7164,35,4.6
13/11/1977,21:02:33,26.6216,92.9072,43,5.2
22/12/1977,17:50:02,28.6075,96.005,35,4.7
02/03/1978,12:14:39,27.3091,96.9137,35,4.8
19/04/1978,17:01:43,27.5977,92.5549,18,4.9
19/04/1978,18:58:41,27.5849,92.424,18,4.4
21/07/1978,13:28:29,28.9612,94.8398,10,4.6
13/01/1979,03:27:15,27.3631,91.5719,10,4.5
25/04/1979,02:21:53,27.454,96.4895,33.5,4.9
29/07/1979,14:16:01,26.7896,91.8004,57.7,4.7
29/09/1979,11:32:46,28.9951,95.6973,31.9,5.1
21/12/1979,06:31:51,27.0493,96.9671,10,5.7
01/03/1980,17:28:54,28.7064,96.0887,35,4.6
26/03/1980,22:24:40,28.7419,94.2956,27.4,4.5
27/05/1980,22:35:44,28.1938,95.878,35,4.7
30/08/1980,02:51:04,28.6691,96.3369,35,4.4
10/10/1980,02:35:34,27.1434,96.9185,24.6,4.8
19/11/1980,19:00:52,27.3596,88.7832,43.5,6.1
09/02/1981,15:49:23,27.1645,89.7592,17.3,4.8
23/08/1981,15:56:15,26.6777,95.9715,83,4.5
14/10/1981,08:29:17,28.7222,94.8522,35,4.9
23/10/1981,23:44:51,29.8874,94.8818,35,5
24/10/1981,01:39:27,29.9926,94.9683,24.3,4.8
24/10/1981,04:17:16,29.8542,94.936,35,4
25/10/1981,12:42:37,29.9872,95.0928,35,3.8
21/11/1981,04:25:06,29.6242,89.061,35,4.8
09/12/1981,10:52:58,27.4594,92.3867,18,4.6
13/12/1981,22:20:32,29.945,95.0436,35,4.5
05/04/1982,02:19:44,27.3412,88.7558,17.5,5.2
22/04/1982,16:39:33,29.951,95.0156,10.7,5.2
24/04/1982,02:04:47,28.3149,93.0069,65.8,4.7
02/05/1982,16:55:41,29.7997,95.0943,35,4.2
29/05/1982,11:27:24,29.5949,95.4079,29.1,5
02/07/1982,02:15:24,28.4344,96.4221,24,4.6
05/07/1982,16:32:46,27.1745,96.1642,10,4.7
18/08/1982,18:01:07,26.9559,89.3348,35,4.6
26/10/1982,05:35:49,29.7836,95.0742,10.1,4.9
26/11/1982,13:26:31,27.7587,94.7202,27.9,5.2
12/01/1983,03:28:25,26.8561,96.9562,28,5
12/01/1983,12:22:24,26.7226,96.9585,10,4.6
14/01/1983,03:15:10,29.0182,95.8324,33,4.7
02/02/1983,20:44:08,26.8858,92.865,35,5.2
