DATE      	TIME       	LAT     	LON      	DEPTH	MAG
1964-03-23	36:26.2	37.1726	72.4596	152	4.4
1964-06-06	05:56.9	37.0894	71.8799	153.7	4.8
1964-07-07	12:37.4	35.6088	73.4198	37	4.6
1965-01-23	02:56.1	35.9106	73.4522	48	5.2
1965-01-29	06:05.5	35.5649	73.3805	37	5.1
1965-07-06	20:58.7	37.3214	73.1887	35	4.6
1965-08-14	14:47.9	37.3389	72.263	200	4.5
1965-11-08	23:10.6	34.6658	73.3464	50	4.8
1966-01-11	13:01.6	34.0514	72.0198	35	4.8
1966-02-02	20:08.5	33.8693	73.1539	22	5.2
1966-03-16	08:18.3	33.1962	75.8624	28	4.6
1966-04-06	51:51.6	34.8862	73.0136	24	5
1966-06-11	08:49.3	35.6772	72.1968	92.9	5
1966-06-13	27:25.0	37.4053	72.1247	200	4.8
1966-08-24	46:59.7	37.3388	73.0494	35	5.1
1967-02-10	46:30.9	33.3323	75.2383	22	4.8
1967-02-20	18:40.4	33.6047	75.3274	18	5.7
1967-02-21	37:44.5	33.5955	75.36	17.8	5.2
1967-04-24	51:11.5	37.303	72.5066	25.9	5.3
1967-07-02	32:38.0	33.187	75.6768	16	4.8
1967-12-19	23:52.8	37.4108	71.8621	109.7	5
1968-03-03	31:21.7	34.7413	72.3854	28.8	5
1968-05-08	45:08.0	37.1389	71.883	142.3	5.1
1968-06-17	26:54.7	37.3986	72.2533	176	4.8
1968-09-15	16:57.1	37.1273	72.5892	35	4.9
1968-10-19	33:25.2	37.3755	73.0836	12.8	5
1968-10-19	01:30.9	37.251	73.1099	18.2	5.2
1968-10-19	52:02.2	37.4278	73.2046	11.9	5.2
1968-10-30	07:25.4	37.312	73.1034	35	5.2
1969-08-26	23:13.6	37.2529	72.8253	4.2	4.9
1969-12-29	09:06.1	36.8695	71.8643	142	4.6
1970-01-23	55:10.1	37.2756	71.9875	130	4.6
1970-04-30	24:53.4	33.2321	73.4366	16	4.8
1970-07-26	30:41.0	35.1414	72.5109	35	4.6
1971-04-28	12:41.7	34.371	73.5837	22	4.9
1971-09-26	59:51.5	36.0948	72.8641	26	4.8
1971-10-15	22:13.6	37.0484	71.8273	160.4	4.9
1971-12-21	54:42.9	35.6043	74.1932	16.3	5.1
1971-12-27	59:37.9	34.9894	72.967	24	5.1
1972-03-10	36:17.8	33.9007	72.7369	34	5
1972-04-02	34:27.8	36.0828	73.6648	31.3	5
1972-04-02	50:50.7	36.1848	73.8627	10	4.8
1972-04-09	47:36.9	35.285	74.8517	25	4.6
1972-04-17	24:49.2	33.9759	72.7944	22	4.9
1972-09-03	48:28.7	35.9435	73.4339	26.1	6.3
1972-09-03	09:22.4	36.0405	73.4492	48	4.8
1972-09-03	46:19.1	36.0825	73.4084	35	4.6
1972-09-03	24:59.0	36.0973	73.4317	48	4.7
1972-09-03	32:21.6	36.0809	73.6042	48	5.2
1972-09-03	03:54.9	35.949	73.2351	40.1	5.6
1972-09-04	14:11.3	35.9969	73.3667	48	4.6
1972-09-04	50:27.2	35.9545	73.386	63	5.3
1972-09-04	23:50.5	35.9119	73.3373	25.1	5.3
1972-09-04	36:20.4	35.9485	73.3484	48	5.2
1972-09-04	51:21.7	35.976	73.3717	24.3	5.3
1972-09-04	26:48.7	36.0815	73.5162	48	4.6
1972-09-04	35:45.8	35.8229	73.4972	48	4.8
1972-09-04	37:52.1	35.8681	73.3574	27.6	5.1
1972-09-04	42:21.0	35.8794	73.4097	46.4	5.8
1972-09-04	58:34.1	36.1486	73.5355	48	4.8
1972-09-04	00:52.5	36.113	73.7897	35	4.7
1972-09-04	44:10.9	35.9301	73.6071	48	4.8
1972-09-04	25:29.9	36.0325	73.6406	48	4.5
1972-09-05	08:05.3	35.7935	73.5078	75	4.6
1972-09-05	07:30.5	35.9645	73.5991	48	4.8
1972-09-05	14:00.9	35.8441	73.3584	48	5.2
1972-09-07	24:17.1	35.8948	73.3929	30	4.8
1972-09-10	45:49.9	36.2347	73.5389	48	4.7
1972-09-16	33:35.2	36.0006	73.6492	48	4.7
1972-09-17	37:49.0	35.991	73.3245	23.9	5.5
1972-09-18	42:03.1	35.8204	73.6045	48	4.9
1972-09-20	44:00.3	36.0942	73.6176	48	4.7
1972-09-27	03:38.9	33.934	72.7324	24.5	5.1
1972-09-27	18:06.7	36.0934	73.6455	10	5.1
1972-09-27	24:55.2	35.0565	72.8468	24	5
1972-10-12	21:13.4	35.9267	73.3612	29.4	5.3
1972-10-13	04:40.4	35.9457	73.4766	48	5.2
1972-10-15	47:53.9	35.8156	73.3461	48	4.9
1972-10-31	31:20.6	35.9674	73.4708	48	4.8
1972-11-07	12:21.1	35.9786	73.6704	10	5.1
1973-01-16	31:25.8	33.2808	75.7823	26	5.1
1973-01-29	32:08.5	35.8436	73.4101	48	4.9
1973-04-10	10:04.1	33.178	75.7404	50	4.6
1973-04-14	46:12.4	36.0216	73.5347	48	4.2
1973-07-13	03:35.8	33.1129	75.696	16	4.8
1973-07-13	54:25.2	33.1171	75.6844	16	4.4
1973-07-23	01:37.1	37.0448	72.1096	142	4.4
1973-08-30	27:27.9	35.9303	73.6671	35	4.2
1973-09-27	04:24.7	33.5992	71.8667	35	4.8
1973-10-02	03:37.5	35.9365	73.4651	48	4.8
1973-10-06	29:12.3	35.8809	73.0675	26	4.9
1973-10-24	23:52.4	33.1527	75.9536	31.1	5.4
1973-10-24	57:16.4	33.1387	75.9996	28	4.9
1973-11-16	37:02.1	37.3573	72.2059	210	4.8
1973-11-27	47:38.3	31.6578	71.8545	35	4.6
1973-12-09	36:53.6	35.9708	73.3854	29.1	5.1
1973-12-16	09:47.0	34.2321	74.0374	26	5.2
1974-02-17	37:32.0	36.9342	71.8732	160	4
1974-03-25	44:07.0	33.6719	72.7127	35	4.5
1974-03-26	45:51.6	33.9157	72.6138	10	4.3
1974-04-06	19:32.7	37.0678	72.5153	26.1	5.4
1974-04-06	58:25.5	37.0824	72.4376	100	4.1
1974-04-12	32:47.7	33.6556	74.0053	10	4.7
1974-04-16	20:33.9	36.8907	72.1487	10	4.2
