DATE      ,TIME       ,LAT     ,LON      ,DEPTH,MAG,,,,,,,,,,,,,,,,
1964-02-01,28:19.7,27.366,87.7167,21,4.8,,,,,,,,,,,,,,,,
1964-02-18,48:34.7,27.3775,91.1967,15.7,5.4,,,,,,,,,,,,,,,,
1964-03-23,36:26.2,37.1726,72.4596,152,4.4,,,,,,,,,,,,,,,,
1964-03-27,03:41.8,27.0324,89.2823,25.5,4.9,,,,,,,,,,,,,,,,
1964-04-13,20:04.4,27.5795,90.0796,35,5.4,,,,,,,,,,,,,,,,
1964-05-24,00:50.2,30.0496,82.1363,21,5.1,,,,,,,,,,,,,,,,
1964-06-06,05:56.9,37.0894,71.8799,153.7,4.8,,,,,,,,,,,,,,,,
1964-07-07,12:37.4,35.6088,73.4198,37,4.6,,,,,,,,,,,,,,,,
1964-08-30,35:08.7,27.4404,88.2322,22,5.1,,,,,,,,,,,,,,,,
1964-09-01,22:37.8,26.9656,92.2021,22,5.7,,,,,,,,,,,,,,,,
1964-09-26,46:01.8,29.8553,80.452,29.9,6,,,,,,,,,,,,,,,,
1964-10-06,19:34.3,29.3238,80.9165,17,5.2,,,,,,,,,,,,,,,,
1964-10-21,09:18.6,28.0827,93.8315,20.2,6,,,,,,,,,,,,,,,,
1964-11-09,12:53.4,29.5208,85.9256,35,5.3,,,,,,,,,,,,,,,,
1964-12-02,21:44.5,29.4573,81.2309,20,5.2,,,,,,,,,,,,,,,,
1965-01-12,32:25.7,27.3829,87.8286,22.8,6.1,,,,,,,,,,,,,,,,
1965-01-12,55:20.3,27.3269,87.6567,21,5.3,,,,,,,,,,,,,,,,
1965-01-23,02:56.1,35.9106,73.4522,48,5.2,,,,,,,,,,,,,,,,
1965-01-29,06:05.5,35.5649,73.3805,37,5.1,,,,,,,,,,,,,,,,
1965-03-18,41:26.4,29.5572,80.2798,10,5.2,,,,,,,,,,,,,,,,
1965-04-11,33:05.8,26.6941,92.2023,47,5.1,,,,,,,,,,,,,,,,
1965-05-13,51:15.0,29.8243,80.267,10,5,,,,,,,,,,,,,,,,
1965-05-31,04:44.9,32.5437,77.9474,35,5.2,,,,,,,,,,,,,,,,
1965-06-01,52:28.0,28.4637,83.0358,35,5.3,,,,,,,,,,,,,,,,
1965-07-06,20:58.7,37.3214,73.1887,35,4.6,,,,,,,,,,,,,,,,
1965-08-14,14:47.9,37.3389,72.263,200,4.5,,,,,,,,,,,,,,,,
