DATE      	TIME       	LAT     	LON      	DEPTH	MAG 
1964-02-18	48:34.7	27.3775	91.1967	15.7	5.4
1964-03-27	03:41.8	27.0324	89.2823	25.5	4.9
1964-04-13	20:04.4	27.5795	90.0796	35	5.4
1964-08-30	35:08.7	27.4404	88.2322	22	5.1
1964-09-01	22:37.8	26.9656	92.2021	22	5.7
1964-10-21	09:18.6	28.0827	93.8315	20.2	6
1965-04-11	33:05.8	26.6941	92.2023	47	5.1
1965-12-09	26:05.2	27.336	92.5038	18	5.4
1966-07-05	01:19.8	27.7526	92.4948	35	4.9
1966-09-26	10:57.3	27.4556	92.5586	16.3	5.6
1967-02-25	56:10.2	27.3346	92.4965	18	4.8
1967-03-11	56:52.7	28.4406	94.2971	17.3	5.2
1967-03-14	58:06.0	28.4311	94.2144	18.8	5.8
1967-07-07	56:33.4	27.7531	91.977	35	4.8
1967-09-15	32:44.1	27.3343	91.877	13	6
1968-01-31	45:17.8	29.7198	92.2001	12.6	5.2
1968-11-18	49:04.2	26.8244	92.7108	46.2	4.5
1969-06-30	51:57.2	26.7967	92.6629	58.4	5
1969-10-22	33:24.4	28.9109	95.3144	40	4.6
1969-11-05	25:18.4	27.497	89.981	35	5.1
1970-02-19	10:02.7	27.4384	93.912	12.8	5.5
1972-06-08	10:13.0	29.7039	92.4064	35	4.8
1972-11-06	56:11.9	26.8897	88.5884	35	4.7
1973-07-04	44:13.4	27.3671	92.4163	18	5
1973-08-01	05:19.6	29.3693	89.0395	91.6	5
1973-09-11	55:59.6	27.0292	92.6664	35	4.9
1973-10-09	01:50.0	27.8084	93.362	35	4.9
1974-07-09	17:09.9	27.2976	92.4423	18	4.6
1974-07-10	10:36.3	28.8265	95.4709	40	4.9
1975-01-23	37:42.8	27.3816	88.2329	22	4.6
1976-03-11	32:39.8	26.7045	92.2142	40	4.8
1976-08-05	24:13.7	28.1838	92.2767	35	4.8
1976-09-14	43:56.0	29.7923	89.556	101.9	5.4
1977-10-29	53:22.9	28.9302	94.7164	35	4.6
1977-11-13	02:32.9	26.6216	92.9072	43	5.2
1978-04-19	01:42.9	27.5977	92.5549	18	4.9
1978-04-19	58:41.4	27.5849	92.424	18	4.4
1978-07-21	28:28.7	28.9612	94.8398	10	4.6
1979-01-13	27:15.3	27.3631	91.5719	10	4.5
1979-07-29	16:00.6	26.7896	91.8004	57.7	4.7
1980-03-26	24:39.7	28.7419	94.2956	27.4	4.5
1980-11-19	00:51.8	27.3596	88.7832	43.5	6.1
1981-02-09	49:22.8	27.1645	89.7592	17.3	4.8
1981-10-14	29:17.2	28.7222	94.8522	35	4.9
1981-10-23	44:51.2	29.8874	94.8818	35	5
1981-10-24	17:16.4	29.8542	94.936	35	4
1981-11-21	25:05.8	29.6242	89.061	35	4.8
1981-12-09	52:57.7	27.4594	92.3867	18	4.6
1982-04-05	19:43.8	27.3412	88.7558	17.5	5.2
1982-04-24	04:47.0	28.3149	93.0069	65.8	4.7
1982-05-02	55:40.9	29.7997	95.0943	35	4.2
1982-05-29	27:23.6	29.5949	95.4079	29.1	5
1982-08-18	01:07.1	26.9559	89.3348	35	4.6
1982-10-26	35:48.6	29.7836	95.0742	10.1	4.9
1982-11-26	26:30.8	27.7587	94.7202	27.9	5.2
1983-02-02	44:07.7	26.8858	92.865	35	5.2
1983-10-02	03:25.4	28.0175	92.5169	35	5
1983-10-16	03:13.8	29.3748	90.1149	10	4.6
1984-01-18	19:22.9	28.809	95.0047	24	4.6
1984-06-09	07:47.5	27.0376	92.4485	32.5	4.8
1984-11-15	08:59.1	26.9166	92.541	10	4.8
1985-01-07	13:07.1	27.1018	91.9784	14.9	5.7
1985-01-11	39:28.8	27.0753	91.7683	23	4.8
1985-02-23	07:26.1	29.0473	94.6378	25	4.4
1985-03-05	10:59.2	27.6813	93.9981	35	4.5
1985-04-06	08:27.5	28.3055	92.2072	35	4.5
1985-08-01	13:45.5	29.1774	95.1825	24	5.5
1985-10-02	33:50.8	27.0893	89.6968	35	4.4
1985-10-12	22:37.3	27.0294	92.5726	6.5	5.4
1985-10-12	35:10.5	27.1563	92.5967	35	4.7
1985-10-25	59:04.7	27.1602	92.5317	35	4.7
1985-10-31	26:11.8	27.0256	92.559	35	5
1985-12-26	04:29.6	27.0435	92.0243	23	4.9
1986-01-07	19:58.7	27.2881	88.3485	22	4.9
1986-07-16	37:50.9	27.5297	91.4004	35	4.5
1986-07-23	18:41.8	26.7746	95.4601	72	3.9
1987-01-09	00:42.4	28.5534	95.2279	35	4.6
1987-01-24	34:26.7	27.5917	92.6088	18	5
1987-07-17	12:35.6	27.7378	92.6479	35	4.7
1987-09-06	38:55.1	26.6058	93.332	54.9	5.2
1987-09-13	04:51.3	27.2816	92.783	17	4.4
1987-09-25	16:30.6	29.7819	90.369	19.3	5.3
1987-09-29	17:30:26	29.8698	90.4794	7	4.7
1987-10-06	18:17.7	29.7552	90.4741	7	4.9
1987-10-15	22:48.4	27.306	92.7296	17	4.8
1987-12-12	48:56.1	29.8027	90.3878	7	4.9
1987-12-22	22:12.0	29.8594	95.2432	35	4.7
1988-01-10	18:31.1	29.6457	90.1229	10	4.8
1988-02-17	30:11.6	27.0867	92.088	23	4.8
1988-05-09	03:39.4	28.9906	94.7356	24.5	5.2
1988-05-10	51:41.6	29.0205	94.8492	23.2	5
1988-05-26	30:04.2	27.2626	88.5709	22	4.8
1988-06-06	28:46.2	29.0689	94.6573	25	4.6
1988-07-05	36:28.3	28.102	91.1662	60.3	4.9
1988-09-27	10:11.2	27.1983	88.3239	24.2	5.2
1988-12-20	45:45.6	27.6609	91.1577	33.5	5
1989-01-19	52:56.9	29.8441	94.7159	35	4.6
1989-02-28	26:42.1	27.0704	92.6119	34.6	4.8
1989-03-08	02:08.0	26.9209	92.6963	54.7	5.1
1989-04-09	31:38.0	29.1234	90.0247	8.8	5.3
1989-07-25	31:49.8	27.4878	92.4045	18	4.5
1989-09-19	07:43.7	26.7625	92.5661	35	4.7
1990-02-18	12:51.1	29.3191	90.0599	35	4.6
1990-02-22	33:13.7	29.201	89.9646	16.2	5
1990-05-06	30:10.2	29.8782	89.7839	35	4.3
