LAT     ,LON      ,DEPTH,MAG,DATE      ,TIME       
29.5431,80.8488,15.8,5.9,12/16/1966,52:16.9
31.8828,78.5807,12,5.9,1/19/1975,12:06.6
34.4428,80.1439,6.7,5.9,7/6/1986,24:24.2
29.5266,90.1712,23.7,5.9,7/30/1992,24:49.5
34.7476,73.304,15.6,5.9,10/8/2005,13:32.3
28.4416,94.52,19,5.9,4/23/2019,15:51.2
29.3309,81.1794,14.4,5.9,11/8/2022,27:23.0
28.4311,94.2144,18.8,5.8,3/14/1967,58:06.0
35.8794,73.4097,46.4,5.8,9/4/1972,42:21.0
29.9634,80.3319,16.7,5.8,5/20/1979,59:13.2
29.2952,81.2185,8.5,5.8,7/29/1980,23:09.9
29.4693,83.74,65.5,5.8,8/9/1987,15:03.0
36.8519,73.1229,18.1,5.8,3/5/1990,47:03.1
28.9776,87.4743,15.1,5.8,3/20/1993,52:01.2
35.3511,74.598,15.2,5.8,11/20/2002,32:28.9
34.2185,73.6493,27,5.8,10/8/2005,57:22.3
34.7699,73.1609,20.1,5.8,10/8/2005,25:21.8
33.0621,73.7246,15,5.8,9/24/2019,01:55.0
26.9656,92.2021,22,5.7,9/1/1964,22:37.8
28.5869,78.9113,28.6,5.7,8/15/1966,15:32.6
33.6047,75.3274,18,5.7,2/20/1967,18:40.4
27.7852,86.0684,24,5.7,3/24/1974,16:03.3
28.5856,85.4326,47,5.7,9/27/1974,26:38.3
27.1018,91.9784,14.9,5.7,1/7/1985,13:07.1
31.0629,78.0236,15.2,5.7,7/16/1986,03:09.4
29.5033,81.6044,13.7,5.7,12/9/1991,02:45.3
34.38,73.4817,22,5.7,10/8/2005,58:38.2
34.664,73.1673,9,5.7,10/8/2005,26:11.0
34.679,73.2681,14,5.7,10/9/2005,30:02.2
34.8599,73.1101,16.4,5.7,10/23/2005,04:21.8
35.0568,74.1699,23.7,5.7,2/5/2019,47:06.4
27.6392,92.774,13.6,5.7,7/19/2019,22:14.6
28.6056,87.3687,12.5,5.7,3/20/2020,33:15.0
29.4295,80.8609,17,5.6,6/27/1966,49:47.3
27.4556,92.5586,16.3,5.6,9/26/1966,10:57.3
35.949,73.2351,40.1,5.6,9/3/1972,03:54.9
32.4541,78.4711,13,5.6,7/29/1975,40:54.4
32.2102,76.3073,19.1,5.6,4/26/1986,35:16.0
27.8135,85.6119,15.4,5.6,10/29/1988,10:53.8
28.1354,88.1494,61.8,5.6,1/9/1990,29:26.2
36.8189,73.0649,10,5.6,3/5/1990,51:15.1
37.1084,72.9715,28.6,5.6,5/10/1992,04:33.6
27.8233,86.9607,8.6,5.6,9/3/1998,15:54.9
29.5812,81.716,22.6,5.6,11/27/2001,31:52.4
34.5168,73.3685,24.9,5.6,10/8/2005,02:27.3
34.8902,73.1748,14.3,5.6,10/12/2005,23:39.0
34.7747,73.1043,12.4,5.6,10/19/2005,33:29.4
29.5388,86.0503,18.4,5.6,11/7/2009,08:48.5
29.6265,80.7289,17.4,5.6,4/4/2011,31:41.1
27.6955,85.9601,19,5.6,4/25/2015,18:12.6
28.3483,87.2873,9.3,5.6,4/25/2015,17:02.3
27.7996,85.8233,16.8,5.6,4/26/2015,26:06.5
27.5175,86.1127,20.1,5.6,5/16/2015,34:11.1
30.5773,79.0787,14.6,5.6,2/6/2017,03:05.8
28.4624,94.4387,10.5,5.6,11/10/2022,01:05.9
29.5779,81.6942,24.8,5.6,1/24/2023,58:32.0
27.4384,93.912,12.8,5.5,2/19/1970,10:02.7
35.991,73.3245,23.9,5.5,9/17/1972,37:49.0
29.4416,81.8721,22.1,5.5,5/18/1984,28:57.0
29.1774,95.1825,24,5.5,8/1/1985,13:45.5
28.778,86.631,59.6,5.5,1/10/1986,46:32.2
27.0066,86.6691,28.2,5.5,4/20/1988,40:24.5
36.9876,72.9435,11,5.5,7/20/1988,20:48.6
37.2155,71.8349,9.2,5.5,9/25/1988,52:15.9
35.5208,74.5454,75.7,5.5,1/24/1992,04:51.1
31.4594,73.4631,44.8,5.5,4/1/1996,08:04.2
29.8171,80.6116,24.2,5.5,1/5/1997,47:25.9
27.5859,92.8268,18.6,5.5,9/26/1998,27:04.8
34.7512,73.2986,18.9,5.5,2/14/2004,30:23.4
34.77,73.24,23.5,5.5,2/14/2004,56:59.2
35.2919,74.4126,15.4,5.5,10/31/2004,02:57.9
34.7711,73.2279,13.5,5.5,10/8/2005,26:05.7
34.3269,73.6711,9.9,5.5,10/9/2005,20:37.2
34.8076,73.1005,24.2,5.5,10/19/2005,16:23.6
26.9758,91.7266,15.9,5.5,2/23/2006,04:54.3
34.833,73.8031,20,5.5,3/20/2006,40:46.1
29.7329,90.3806,6.8,5.5,10/8/2008,07:15.8
28.4699,86.7608,74.7,5.5,2/26/2010,42:37.6
36.7552,73.1493,29.8,5.5,3/12/2012,06:43.3
33.1059,75.7215,27.4,5.5,5/1/2013,57:15.2
27.8635,85.7138,8.4,5.5,4/25/2015,56:33.5
27.7744,84.9497,13.7,5.5,4/25/2015,16:15.2
35.5866,74.6819,22.3,5.5,12/30/2019,18:58.5
27.3775,91.1967,15.7,5.4,2/18/1964,48:34.7
27.5795,90.0796,35,5.4,4/13/1964,20:04.4
27.336,92.5038,18,5.4,12/9/1965,26:05.2
31.4191,80.4515,35,5.4,3/6/1966,10:58.5
29.6944,80.8136,23.2,5.4,6/27/1966,55:51.9
30.4377,79.3621,16.8,5.4,6/22/1969,33:24.3
33.1527,75.9536,31.1,5.4,10/24/1973,23:52.4
37.0678,72.5153,26.1,5.4,4/6/1974,19:32.7
33.0132,76.0475,23.3,5.4,12/5/1975,37:11.5
32.8978,76.0926,22,5.4,12/10/1975,26:10.1
31.9638,78.7141,5.9,5.4,9/8/1976,13:02.1
29.7923,89.556,101.9,5.4,9/14/1976,43:56.0
31.7934,78.4045,8.3,5.4,2/19/1977,15:22.5
35.535,73.8004,21.1,5.4,2/22/1982,59:57.0
32.6128,78.5201,9.4,5.4,2/27/1983,33:04.2
27.0294,92.5726,6.5,5.4,10/12/1985,22:37.3
33.2754,75.7536,25.9,5.4,12/25/1990,56:44.6
29.0365,85.385,10,5.4,11/3/1997,29:49.9
29.5126,81.7142,24,5.4,11/27/2001,53:54.3
30.496,81.4251,16.2,5.4,6/4/2002,36:04.6
35.3416,74.7228,17.7,5.4,11/3/2002,33:37.0
34.9757,73.7413,21,5.4,10/8/2005,58:14.5
34.6564,73.3093,10.3,5.4,10/8/2005,08:41.8
34.5909,73.5588,8.6,5.4,10/8/2005,42:30.4
34.6535,73.3038,19.7,5.4,10/8/2005,45:11.4
34.5661,73.2888,16.9,5.4,10/9/2005,09:19.9
