name,age,min_age,max_age,slat,slon,N,K,A95,plat,plon,mdec,minc,plateID,lithology,f,p_std
6534,117,116,118,24.70,87.70,120,108.70,2.40,9.40,296.60,316.40,-64.00,,,,
2640,116,115,117,24.70,87.60,16,187.00,4.00,3.00,298.00,310.00,-67.00,,,,
2595,116,115,117,24.60,87.70,158,60.00,3.50,7.00,297.00,314.50,-64.50,,,,
6531,1150,1100,1200,24.60,79.90,59,46.90,11.30,27.40,83.80,50.20,87.30,,,,
6531,1300,1200,1400,24.60,79.90,19,95.90,12.70,-18.20,93.40,161.40,63.20,,,,
2596,116,115,117,24.50,87.50,294,85.00,2.50,7.50,296.50,316.00,-65.00,,,,
3062,116,115,117,24.50,87.50,92,170.00,3.00,12.00,294.00,322.00,-64.00,,,,
2491,252.5,245,260,23.80,85.30,13,49.00,6.00,7.50,120.50,110.50,69.00,,,,
2629,85,65,105,23.80,85.00,98,37.00,6.70,33.50,290.00,336.00,-45.00,,,,
6850,65,60,70,23.80,84.60,16,81.20,10.50,41.40,104.90,343.60,-39.20,,,,
6828,205,180,230,23.80,84.50,52,93.50,12.80,20.30,301.20,137.90,52.70,,,,
6829,177,146,208,23.80,84.10,27,46.40,37.50,3.40,317.20,110.30,50.90,,,,
2120,565,530,600,23.80,78.90,7,15.00,13.70,35.00,222.00,32.00,-37.00,,,,
2121,555,530,580,23.70,79.60,18,200.00,5.70,31.50,199.00,49.00,-19.00,,,,
6849,173,146,200,23.60,87.00,17,31.20,6.20,4.60,314.10,115.30,55.60,,,,
6852,202,200,204,23.40,81.10,30,121.60,8.40,21.00,312.50,307.50,-40.40,,,,
2385,214,200,228,23.40,81.00,49,200.00,5.70,30.00,305.00,320.00,-39.00,,,,
6851,219,210,228,23.40,81.00,30,28.90,7.80,20.00,323.60,300.20,-28.20,,,,
2336,65,60,70,23.20,80.50,131,26.20,6.80,38.30,287.30,157.20,40.90,,,,
2517,65.5,63,68,23.10,80.80,93,87.50,5.00,48.00,286.00,343.00,-28.50,,,,
2498,65.5,63,68,23.00,82.00,62,394.00,2.50,37.00,285.00,340.10,-44.10,,,,
2613,65.5,63,68,22.70,81.80,74,75.70,5.00,33.30,295.00,149.50,43.90,,,,
2248,1500,1000,2000,22.50,86.00,4,15.30,13.00,28.00,304.00,142.00,46.00,,,,
2249,1500,1000,2000,22.50,86.00,42,15.00,16.40,66.30,310.90,343.40,9.40,,,,
2250,1500,1000,2000,22.50,86.00,13,230.60,16.50,29.50,94.10,44.60,84.90,,,,
2572,65.5,63,68,22.50,75.80,76,10.70,13.20,36.30,270.40,166.50,48.70,,,,
2367,64,60,68,22.50,73.50,88,38.00,5.40,39.20,285.60,334.00,-38.00,,,,
2750,202,176,228,22.40,78.40,31,32.80,4.60,10.10,310.10,117.20,48.90,,,,
56,65.5,63,68,22.40,75.40,37,107.10,6.50,29.00,293.00,143.00,46.00,,,,
6653,66,64,68,22.30,75.10,91,152.00,2.80,28.70,291.20,144.00,47.00,,,,
6563,2600,2400,2800,22.00,85.40,14,15.40,24.10,66.00,298.90,347.00,3.10,,,,
6563,3025,2900,3150,22.00,85.40,27,21.70,12.20,23.80,32.10,282.70,60.20,,,,
6533,65.5,63,68,21.50,74.30,67,24.60,9.40,37.20,280.50,337.50,-43.70,,,,
2137,64,62,66,21.50,70.50,108,31.80,6.20,37.10,282.40,332.60,-41.90,,,,
2916,308.5,299,318,21.40,79.00,23,109.40,2.90,31.50,134.30,66.10,59.20,,,,
102,1800,1700,1900,21.00,85.80,22,57.60,10.20,-44.00,36.60,213.70,21.20,,,,
2751,248,245,251,20.50,79.00,23,43.30,4.60,-7.30,304.30,100.10,62.80,,,,
2752,255.5,251,260,20.20,79.30,17,411.10,1.80,-4.10,282.80,302.00,-75.10,,,,
2753,214,200,228,20.10,79.00,57,62.80,2.40,-21.00,309.60,79.40,61.60,,,,
6934,65.5,64,67,20.10,70.10,57,15.70,13.40,43.00,286.60,332.70,-33.90,,,,
2499,255.5,251,260,20.00,79.00,105,24.00,6.50,4.00,129.00,101.50,58.50,,,,
