DATE      	TIME       	LAT     	LON      	DEPTH	MAG
1965-03-18	41:26.4	29.5572	80.2798	10	5.2
1965-05-13	51:15.0	29.8243	80.267	10	5
1965-05-31	04:44.9	32.5437	77.9474	35	5.2
1966-06-20	42:56.2	28.7603	76.9106	14	4.8
1966-08-05	03:03.3	32.724	79.664	28.4	5.3
1966-08-15	15:32.6	28.5869	78.9113	28.6	5.7
1966-10-13	42:41.0	31.2783	80.2723	10	4.5
1966-10-20	53:38.2	33.5205	78.7126	14.2	4.8
1967-01-02	17:57.5	30.5633	79.0161	24	4.7
1968-01-05	42:49.1	30.3694	79.2792	24	5
1968-02-10	03:05.3	34.0938	78.512	35	5.1
1968-02-11	25:02.9	34.2293	78.4943	35	4.7
1968-02-11	38:26.7	34.1038	78.6915	11.1	5.1
1968-05-31	01:35.7	29.9754	79.8605	16	5.1
1968-11-05	02:43.3	32.2765	76.448	14	4.9
1969-03-03	20:22.1	29.9376	79.8801	19.6	5.1
1969-06-22	33:24.3	30.4377	79.3621	16.8	5.4
1970-01-17	33:02.4	32.5854	76.5469	14	4.8
1970-03-05	34:20.6	32.3233	76.5463	14	4.8
1970-08-11	06:20.1	34.1915	79.4465	35	4.7
1971-01-30	15:37.9	30.371	79.2156	24	4.8
1972-08-17	14:25.9	30.6988	78.4608	28	5.3
1972-09-06	51:29.0	32.4127	78.4001	11.2	5.1
1972-10-26	05:48.7	32.1412	76.5507	11	4.7
1973-02-10	51:21.6	30.2662	80.3806	11	4.6
1973-12-16	16:13.3	32.3997	76.0987	14.9	4.9
1974-02-24	32:04.5	30.8866	78.4173	10	4.9
1974-07-07	56:49.5	30.5333	78.6953	28	4.9
1974-11-16	18:35.1	32.9955	76.236	28	4.9
1974-11-22	51:36.8	33.344	76.5857	31	4.7
1975-01-19	00:19.2	32.2332	78.6666	12	5.1
1975-01-19	02:01.1	32.3511	78.487	12.9	6.4
1975-01-19	12:06.6	31.8828	78.5807	12	5.9
1975-01-19	18:22.1	32.0733	78.5862	12	4.9
1975-01-19	12:54.7	32.3472	78.6688	13	4.7
1975-01-19	04:34.6	31.9399	78.605	12	5
1975-01-19	16:10.9	32.3587	78.4689	13	4.7
1975-01-19	41:10.6	32.6694	79.0806	35	4.4
1975-01-20	37:30.9	32.3432	78.6976	13	4.7
1975-01-20	40:34.6	32.2484	78.6621	12	4.5
1975-01-20	06:50.0	32.4166	78.543	13	4.8
1975-01-20	24:12.0	32.1802	78.377	12	4.7
1975-01-22	26:34.1	31.923	78.6875	12	4.8
1975-01-27	10:17.3	32.3233	78.5795	13	5
1975-01-27	23:36.7	32.0685	78.5976	12	4.9
1975-01-27	41:38.0	32.4011	78.6203	13	4.9
1975-01-27	58:06.6	32.7873	78.29	10	4.6
1975-01-29	49:24.0	31.7898	78.6385	12	4.9
1975-01-31	04:07.6	32.1995	78.5174	13	4.5
1975-02-02	14:10.3	32.4945	78.465	13	5.2
1975-02-11	41:31.2	32.0702	78.6941	12	4.7
1975-03-10	07:03.2	32.1483	78.8224	35	5
1975-03-11	39:31.8	32.0667	78.547	12	4.8
1975-03-24	53:03.8	32.0268	78.4863	12	4.7
1975-03-26	47:13.1	31.8543	78.4609	12	4.7
1975-04-01	18:42.4	31.8669	78.4573	12	4.6
1975-04-09	45:41.6	31.9478	78.5734	12	4.8
1975-05-08	56:05.5	32.3599	78.5413	13	4.8
1975-05-11	48:37.8	31.9128	78.6289	12	4.9
1975-05-29	37:35.9	31.9117	78.416	12	4.8
1975-06-10	44:17.6	32.5363	78.4695	13	5
1975-07-02	06:28.3	32.475	78.4882	13	4.8
1975-07-19	10:54.2	31.8794	78.6034	23.9	5.2
1975-07-19	26:27.4	32.1059	78.6671	12	4.4
1975-07-21	26:35.7	32.0872	78.5052	12	4.8
1975-07-29	40:54.4	32.4541	78.4711	13	5.6
1975-08-23	08:56.7	30.5927	79.3241	17	4.3
1975-09-16	20:22.0	32.2933	76.2506	14	4.7
1975-09-19	59:31.1	31.9446	78.5725	12	4.9
1975-11-05	35:59.8	32.0127	78.8279	35	5.1
1975-11-06	11:31.4	29.7553	77.8465	10	4.9
1975-12-05	37:11.5	33.0132	76.0475	23.3	5.4
1975-12-10	26:10.1	32.8978	76.0926	22	5.4
1975-12-10	03:41.9	32.6941	76.2708	20	4.9
1975-12-10	08:41.9	33.0216	76.1055	28	4.8
1975-12-11	09:49.7	32.9437	76.155	28	5.1
1976-01-07	24:53.2	32.9267	76.0629	30.6	5.3
1976-01-08	34:24.8	32.8945	76.1304	28	4.9
1976-01-09	50:11.6	32.6951	76.0411	28	4.6
1976-02-05	04:32.0	31.2567	76.959	11	5
1976-04-10	09:15.3	32.695	76.4894	14	4.1
1976-04-16	15:06.9	32.7403	76.4489	20	4.1
1976-05-06	21:35.4	31.6895	78.7624	35	4.7
1976-05-22	32:50.5	33.0315	76.0066	28	4.6
1976-07-06	55:47.9	32.3092	78.3934	13	4.9
1976-09-08	13:02.1	31.9638	78.7141	5.9	5.4
1976-09-29	47:17.1	31.8406	78.379	10	5
1976-10-03	03:47.4	31.9407	78.7818	35	4.8
1977-01-28	48:49.8	31.4598	78.1135	8	4.8
1977-02-19	15:22.5	31.7934	78.4045	8.3	5.4
1977-02-19	39:43.8	31.5844	78.3109	32	4.6
1977-03-27	36:48.4	32.6832	78.6638	13	5.1
1977-04-14	26:49.4	32.0907	78.4033	12	4.5
1977-04-20	21:08.3	30.4074	79.4144	17	5
1977-06-22	53:28.6	33.1136	76.0182	28	4.9
1977-10-19	14:48.4	32.7663	78.6032	35	4.8
1977-12-20	12:35.4	33.4032	76.3033	26	4.8
1977-12-21	08:16.5	33.4338	76.2084	26	5
1978-01-07	23:19.8	30.4851	79.4216	17	4.7
1978-01-15	30:31.1	31.8998	78.3705	35	4.6
1978-04-11	55:37.4	32.6036	78.8197	10	4.6
1978-06-14	12:06.8	32.1215	76.4876	12.4	5
1978-09-28	32:16.6	33.4389	76.0787	26	5
1979-05-11	56:37.7	32.1466	78.8999	10	4.3
1979-05-20	59:13.2	29.9634	80.3319	16.7	5.8
1979-05-27	11:28.5	33.5446	76.4427	31	4.8
1979-06-11	25:33.4	33.1043	76.2353	10	4.5
1979-12-28	59:19.8	30.6741	78.4312	28	5.1
1980-01-07	45:20.9	33.128	76.0491	28	4.7
1980-04-27	00:33.0	28.874	77.7577	13.6	4.8
